epix_address,x42_address,original_balance,final_balance,deduction_amount,deduction_percentage,signature,raw_json
epix10y2jd8mcveelz27kc3jdyggndlgg9nqg2te8ts,XRYb1FEpGouoxvuXzcJXrWSnDGe9rHBBWR,2361813291020,19599.57018358,401856272662,17.01%,H5ZM/1mfNCOuiwIY7CxzmgHthvpXgmFsvF9O8GVXzqwgf5p9Hda7uSEROUvEW14DDMwJt9XiosqyXyJjtnDODJA=,"{""x42_address"":""XRYb1FEpGouoxvuXzcJXrWSnDGe9rHBBWR"",""epix_address"":""epix10y2jd8mcveelz27kc3jdyggndlgg9nqg2te8ts"",""snapshot_balance"":2361813291020}"
epix1marvg095283tnkta9p2x5patck93dlm6e6aqwu,XRMhX4FRtDXmxBFiWbNsLrSPFhhJiaZfjr,202000000000,1676.30235300,34369764700,17.01%,H7XSBwVuiYztePmT7SR4QMRn6rQwLv025LXLPYmJKLMDQDbUv4riXrb7GjJWUMORTF2J+VhbNM5xq2HMkjoFzGk=,"{""x42_address"":""XRMhX4FRtDXmxBFiWbNsLrSPFhhJiaZfjr"",""epix_address"":""epix1marvg095283tnkta9p2x5patck93dlm6e6aqwu"",""snapshot_balance"":202000000000}"
epix1eznqnlsqda43kj022qkp4enw8486srw53e2ldq,XGyqEnsbciMLNmdFgcFqhnoUM9HucLa6a5,1194000000000,9908.44064100,203155935900,17.01%,INQqpCir3psblFXFAhofsP21eSjpV3CLDFlLaDZDD4/fS/YA9Glp5/e64hb0iLJF4+d5ya+RHUOYLtJfhjYQK98=,"{""x42_address"":""XGyqEnsbciMLNmdFgcFqhnoUM9HucLa6a5"",""epix_address"":""epix1eznqnlsqda43kj022qkp4enw8486srw53e2ldq"",""snapshot_balance"":1194000000000}"
epix1fu9eq5qzlemrmjw0c3vrq37yxmv8hut8t98jxf,XR2Y2yBYjDemT9rPKnwmdSTCrBcTfSiKV4,1745086051640,14481.64284431,296921767209,17.01%,H/2MXj++XGjUe0TYFRA39cAwx3Qnhh4IDmvbYLSN1nKADQm1hI9IdbCjmTDa6Og8MzCd4M3bQJfLJ7A/02CpXM4=,"{""x42_address"":""XR2Y2yBYjDemT9rPKnwmdSTCrBcTfSiKV4"",""epix_address"":""epix1fu9eq5qzlemrmjw0c3vrq37yxmv8hut8t98jxf"",""snapshot_balance"":1745086051640}"
epix1xu2jufpfxc9ajtejje5c7vdmn6ddtfrmrwcxj6,XM17h6WtKDk6PNfYvQefwHccHYtSkGkA13,9905918618580,87404.59233119,1165459385461,17.01%,HzBVyr98ed3yHA28XmHZP0IfT3xwOsJJEz6kVJ74ZhI+ExZUWaOLE5cJzRYLKoZSlBE+OTt049Am6or+NncqaAQ=,"{""x42_address"":""XM17h6WtKDk6PNfYvQefwHccHYtSkGkA13"",""epix_address"":""epix1xu2jufpfxc9ajtejje5c7vdmn6ddtfrmrwcxj6"",""snapshot_balance"":9905918618580}"
epix1xu2jufpfxc9ajtejje5c7vdmn6ddtfrmrwcxj6,XWN5hqLFD5gMNkYT5NfiMsDpF9a2APVm7a,626625000000,87404.59233119,-8113834233119,17.01%,H4x2x3mBbDXy2MAZjx69/G/6LY2qPE1cYV2JmvMCa6jHM9mU4R1LOfVMWXJRnCQH/XT1dYOr1NZbL5bIjtQ/N5A=,"{""x42_address"":""XWN5hqLFD5gMNkYT5NfiMsDpF9a2APVm7a"",""epix_address"":""epix1xu2jufpfxc9ajtejje5c7vdmn6ddtfrmrwcxj6"",""snapshot_balance"":626625000000}"
epix1mrdzx6ecv45y5crz2xxxzx6dthz56m0t9mee5c,XGNub4B4KFwyY3DDzSPD277jKMWoSBBR7m,2702589620000,22427.51158019,459838461981,17.01%,H0kUMMyrFWArr400MMVq2CCkUGhTsoTNhtECs8Ml4DVocdRc1PFfInydcsushU69EtS9XAExMDs2cO953ymPiWM=,"{""x42_address"":""XGNub4B4KFwyY3DDzSPD277jKMWoSBBR7m"",""epix_address"":""epix1mrdzx6ecv45y5crz2xxxzx6dthz56m0t9mee5c"",""snapshot_balance"":2702589620000}"
epix1q0px6h3zcrv4pq5peh7dsk2dmdggasehznpccm,XM5y7y9xqhEBpoq74Wm5wqiTz5erwhuzLo,4322800030000,35872.87060315,735512969685,17.01%,H/hmlOPW7kwBLGmaisTpndYPg9aRIWEgYHCQthW2oPaKUUd9qI+wKf6LmbhFO1VpmInrh19fD9puXHosXDIAHKw=,"{""x42_address"":""XM5y7y9xqhEBpoq74Wm5wqiTz5erwhuzLo"",""epix_address"":""epix1q0px6h3zcrv4pq5peh7dsk2dmdggasehznpccm"",""snapshot_balance"":4322800030000}"
epix1a54e5t0x7rqyj78wp5ra272z8v8uaa263x5jfs,XFnDMNy5SYWXusrySPpKFKGJz2vdbY3w5n,22622591717,187.73417686,3849174031,17.01%,IELPfKvlqERmEKTC2ZnFGgoshA7Tt2ssUMurICsCdHMab5crC83+3/nXYTT3lgJtmR5PEs2eUlNP/jIUS0JgqMA=,"{""x42_address"":""XFnDMNy5SYWXusrySPpKFKGJz2vdbY3w5n"",""epix_address"":""epix1a54e5t0x7rqyj78wp5ra272z8v8uaa263x5jfs"",""snapshot_balance"":22622591717}"
epix1d9768xl5u84ejex57x9lhagg3paakp5eynzs0x,XWBWS4tnMqFZjMoLjEpjdN3TjavFnLp9oR,469984677110,3900.18029759,79966647351,17.01%,H9MoZjbq2zWgyae3uWsqZ7CD3qYYssKMU9QAIzFceuuMDqCVlb4IPvsGcppVcJG8favscFUl27pdEJ8dExJEviA=,"{""x42_address"":""XWBWS4tnMqFZjMoLjEpjdN3TjavFnLp9oR"",""epix_address"":""epix1d9768xl5u84ejex57x9lhagg3paakp5eynzs0x"",""snapshot_balance"":469984677110}"
epix1dz76dqr6mzqve7cyax8q8jgnr9klm8p3lqw5pl,XPw2x1pWQjrfHyeVL5JkmovtiFr98uQY5R,2396551231724,19887.84390506,407766841218,17.01%,IIvV09Vf/XZwuEiPdkjcBg3c10Nwzbej60tgypyQmubLLT646RUDLa3hp7+BYPUPwtEHmDBSXrvYmnhwsLGJVRU=,"{""x42_address"":""XPw2x1pWQjrfHyeVL5JkmovtiFr98uQY5R"",""epix_address"":""epix1dz76dqr6mzqve7cyax8q8jgnr9klm8p3lqw5pl"",""snapshot_balance"":2396551231724}"
epix1qpggj3adws5p3f97u2frnf9zh83gyws3mlljah,XCStem9DkxQ3Fxjm9aj4ZrG5RieUMFd5t7,2621601997734,21755.43365064,446058632670,17.01%,H7N3qfc01raLC4lu/Jzymaxw1SkKstyxxVSmiptdNuredkq5iM6ET8LTh4bFb9yUgdj3C59HN1oqeZRE4V+dWG8=,"{""x42_address"":""XCStem9DkxQ3Fxjm9aj4ZrG5RieUMFd5t7"",""epix_address"":""epix1qpggj3adws5p3f97u2frnf9zh83gyws3mlljah"",""snapshot_balance"":2621601997734}"
